calderon_lared_flow,chapala_flow,pozos_flow,toluquilla_flow,scenario,policy,model
3.8496820085877803,9.073719117245005,4.058540700962135,0.15611249086346954,343660,None,AMGmodel
1.3048935501307888,8.654988100311808,2.4698309337484194,0.07825222530468302,387278,None,AMGmodel
0.22340469395726203,8.43305269616947,4.303270174154554,0.4196951045685363,314317,None,AMGmodel
0.6054115106183021,8.382582076097036,1.098128962964772,0.060574943065159384,381932,None,AMGmodel
1.478194420866274,5.756758414546172,3.580713217863279,0.544801933929087,395321,None,AMGmodel
1.9584893732481519,11.298845779829335,2.6987711551419236,0.029131588427129703,305405,None,AMGmodel
4.406257501621056,8.012604109042456,2.3655601645619604,1.3756506866118323,333188,None,AMGmodel
1.2386241192166474,0.8747968417685319,2.920137118589177,1.1191804566756431,363421,None,AMGmodel
3.041515972647245,11.224030647755615,2.490198783402097,1.1477968751204388,372897,None,AMGmodel
0.4983625260153053,9.682540882324592,4.500079912080819,1.2577082154727013,309507,None,AMGmodel
4.113158659242992,4.3286167911179065,2.7609395469028497,1.174015039491798,388624,None,AMGmodel
2.289438316061303,7.875528860619139,0.30732720706116207,1.3825086465195489,395115,None,AMGmodel
3.971243968101385,11.284212814631099,2.1054973306080003,0.12957803692684616,399243,None,AMGmodel
1.0939043258242158,9.173343575095153,2.4496072671455082,0.5681574636888467,377045,None,AMGmodel
2.394376932357684,1.8429799104118136,1.121346927901858,0.34335002391050196,331791,None,AMGmodel
3.1228149163216017,10.820512581660301,1.6575036657530402,0.3027370084672399,345417,None,AMGmodel
0.12854370369696208,4.420273448942753,1.8604527689992965,0.5752172169130969,371963,None,AMGmodel
1.9370157833510755,11.017502411919676,4.190655722034929,0.2348764414912965,391216,None,AMGmodel
1.2593251449122593,3.8917028260964375,3.177422608820407,0.6016443218393706,331924,None,AMGmodel
0.384926838323053,0.9538625095042159,3.0353002054187823,0.7528614439455928,315134,None,AMGmodel
2.3509785697262386,8.82223640669303,2.667656957205485,0.241312915895061,316405,None,AMGmodel
2.439194218147928,9.723664651048638,3.648692554326975,0.2030420915207351,322718,None,AMGmodel
0.46432330998231636,3.795833346832917,3.5428375543642785,1.0831031630368981,315522,None,AMGmodel
0.4407583852440638,0.7339355665549999,2.42854654821607,0.3826883855019757,324507,None,AMGmodel
1.7163901988411059,5.435029476402774,2.7956255439325233,0.28353713916455986,313979,None,AMGmodel
1.3632025470876104,0.11538497206625395,0.7845908868021046,0.38185067767037856,371898,None,AMGmodel
0.7505866473942864,4.634134096622477,1.0706236727358582,0.00725715623341774,364290,None,AMGmodel
3.855951286774365,5.4777169801200865,2.5078975718998566,0.6464964245258467,327706,None,AMGmodel
2.7661102712069336,3.8256418293653836,4.262884721039787,1.210334304934523,392621,None,AMGmodel
0.3103371221280198,0.9025105347902032,0.41420624958410385,0.34569536106785437,366503,None,AMGmodel
3.457561555076866,7.526795386069254,1.441945792855423,0.6654338269161426,332959,None,AMGmodel
0.21457936531343413,9.906398483567298,1.992861586278315,0.23337648184867865,350907,None,AMGmodel
3.392035822521212,3.5107122302549993,0.1897941393910761,0.7355285952683115,382950,None,AMGmodel
2.302695585736872,1.7520549324198371,3.8691817173267666,0.06533786430064867,384717,None,AMGmodel
2.248664500410065,9.941721130032606,2.064840165460995,0.013082116449817056,306839,None,AMGmodel
2.563591836926956,0.23469858008330083,2.972031156470657,0.9518598651074066,303015,None,AMGmodel
2.6967532966969694,0.39998898947692973,0.22269151253236447,0.3062130052027248,321702,None,AMGmodel
3.339989213734686,1.8597194560576316,3.493989203303908,0.5459573853936077,372719,None,AMGmodel
4.270333243708049,5.853267217747025,0.31946851960825084,0.6268149361297585,327709,None,AMGmodel
3.5796028916220557,10.957014135158879,0.12874239817734492,0.9442943653902928,388505,None,AMGmodel
3.006059611344499,3.744344258385179,3.18357444145887,0.17753018657322228,394640,None,AMGmodel
2.2393574358573725,2.645086090023905,1.8770267011929394,0.2467179586262656,360697,None,AMGmodel
3.1006909829959506,6.6532665043754236,1.566963542925151,0.6413334774638813,373682,None,AMGmodel
0.08148882541835568,1.097228312130025,3.0354049747338006,0.06570038846292389,346698,None,AMGmodel
2.6929085161126105,4.352944366912097,3.742963642889339,0.31966411498088765,332179,None,AMGmodel
2.6959213726191162,6.209785847945075,1.1651879305657513,0.8772323890707904,344305,None,AMGmodel
3.670367298615818,10.930582541250924,4.482509461920124,1.4318421644137471,304004,None,AMGmodel
1.317144784929009,2.121358907642836,2.9295350475850506,0.06882598652632083,382831,None,AMGmodel
0.9477435522823028,8.242531437820208,4.614234228498685,0.31354990043899855,399338,None,AMGmodel
1.2202260429018081,0.48459126532641866,3.4804092596655227,0.5575826798084598,301217,None,AMGmodel
4.336376667497049,3.5021270812207574,1.7590414864256367,1.158616180522063,312878,None,AMGmodel
2.3385788233226417,7.727751147687667,4.42990328424007,0.18093258942398185,305589,None,AMGmodel
2.742092359780868,1.2234156795612887,4.403840984954514,1.224759625334619,382626,None,AMGmodel
2.0108029995464713,10.843324987099887,2.4484266366320253,1.4215771971639943,321985,None,AMGmodel
3.7433413913617843,10.61035581602723,2.413602412634379,1.2935549214251076,390259,None,AMGmodel
1.9045916500264943,3.4878218581335756,4.579947596133494,0.8407105364288276,337085,None,AMGmodel
3.8261194161123475,1.9857052611120132,3.345251628234372,0.3074125552621196,342548,None,AMGmodel
1.9031848101920228,4.636799135030084,4.579764361715968,0.5245229421362424,332735,None,AMGmodel
1.5859951026009926,0.5587709274702642,1.1945410906252332,1.265017071130895,342359,None,AMGmodel
4.3880625503464055,8.25694859788541,4.529691481304216,0.18844869218178759,368379,None,AMGmodel
2.533113100776555,0.6507908236075515,0.3679787921376393,0.3632562808110552,392365,None,AMGmodel
4.130954686442872,5.695326814597272,3.2989079106174417,0.4602836126578772,337450,None,AMGmodel
3.355457940848667,7.471798854746653,3.0815425781177663,1.4449291528154202,358546,None,AMGmodel
