aqp4_Toluquilla_to_PP1,aqp1_PP2_to_PP3,aqp2_PP3_to_Pozos,aqp3_Pozos_to_Toluquilla,delivered_PP1,delivered_PP2,delivered_PP3,delivered_Toluquilla,delivered_Pozos,supplied_PP1,supplied_PP2,supplied_PP3,supplied_Toluquilla,supplied_Pozos,total_supplied,demand_PP1,demand_PP2,demand_PP3,demand_Toluquilla,demand_Pozos,supplied_demand_PP1,supplied_demand_PP2,supplied_demand_PP3,supplied_demand_Toluquilla,supplied_demand_Pozos,supplied_demand_deficit_PP1,supplied_demand_deficit_PP2,supplied_demand_deficit_PP3,supplied_demand_deficit_Toluquilla,supplied_demand_deficit_Pozos,supply_percapita_PP1,supply_percapita_PP2,supply_percapita_PP3,supply_percapita_Toluquilla,supply_percapita_Pozos,supplied_demand_average,supply_percapita_average,min_supplied_demand,supply_percapita_GINI,supplied_demand_GINI,average_supply_percapita,energy_costs,ZAs_below_142,ZAs_below_100,ZAs_below_50,experiment
-0.6281874682105646,0.6751559513251457,0.11290864530486688,-0.3577056370675544,4.779000000000001,1.121,0.6,0.3,1.5,2.1339149856631336,0.23879313163865526,0.9231607489131812,0.7233318502429567,1.066399283542074,5.085600000000001,2.933,0.757,0.944,0.782,1.201,0.728,0.315,0.978,0.925,0.888,0.272,0.685,0.02200000000000002,0.07499999999999996,0.11199999999999999,117.0,46.0,153.0,137.0,130.0,0.7667999999999999,116.6,0.315,0.16054888507718695,0.15889410537297863,118.0,0.4434894254770329,4.0,1.0,1.0,supplied_demand_deficit-supply_percapita_GINI-energy_costs
-0.15578600007716958,0.44296881516653674,0.4223835393905593,-0.06355941320054037,4.779000000000001,1.121,0.6,0.3,1.5,2.44097593994984,0.3897147701417511,0.5710804292543854,0.607465941469809,1.0763629191842148,5.0856,2.933,0.757,0.944,0.782,1.201,0.832,0.515,0.605,0.777,0.896,0.16800000000000004,0.485,0.395,0.22299999999999998,0.10399999999999998,133.0,76.0,95.0,115.0,131.0,0.725,110.0,0.515,0.10909090909090909,0.10913103448275861,118.0,0.2711744419587015,5.0,2.0,0.0,supplied_demand_deficit-supply_percapita_GINI-energy_costs
-0.5356477438739708,0.5410462796616011,0.07923489689955754,-0.13971022107945041,4.779000000000001,1.121,0.6,0.3,1.5,2.1940658064819196,0.32596441821995925,0.8578773987953283,0.8048780498164382,0.9028143266863552,5.085600000000001,2.933,0.757,0.944,0.782,1.201,0.748,0.431,0.909,1.029,0.752,0.252,0.569,0.09099999999999997,0.028999999999999915,0.248,120.0,63.0,142.0,152.0,110.0,0.7737999999999999,117.4,0.431,0.14310051107325383,0.14029464978030498,118.0,0.323909785378645,3.0,1.0,0.0,supplied_demand_deficit-supply_percapita_GINI-energy_costs
-0.14781864062369965,0.6182798017449591,0.0373565670460041,-0.438642135221621,4.779000000000001,1.121,0.6,0.3,1.5,2.4461547235945957,0.27576262886577657,0.9353001025543207,0.35848338851135114,1.0698991564739564,5.085600000000001,2.933,0.757,0.944,0.782,1.201,0.834,0.364,0.991,0.458,0.891,0.16600000000000004,0.636,0.009000000000000008,0.542,0.10899999999999999,134.0,54.0,155.0,68.0,130.0,0.7076,108.2,0.364,0.19815157116451015,0.19072922555115884,118.0,0.31052428615907096,4.0,2.0,0.0,supplied_demand_deficit-supply_percapita_GINI-energy_costs
-0.30784416196369024,0.00944093485772668,-0.030149775544531687,-0.6432100354550443,4.779000000000001,1.121,0.6,0.3,1.5,2.342138134723602,0.6715078923424777,0.583433961761468,0.32953084223061985,1.1589891689418332,5.085600000000001,2.933,0.757,0.944,0.782,1.201,0.799,0.887,0.618,0.421,0.965,0.20099999999999996,0.11299999999999999,0.382,0.579,0.03500000000000003,128.0,130.0,97.0,62.0,141.0,0.7379999999999999,111.6,0.421,0.13691756272401434,0.14710027100271003,118.0,0.24766122695524823,5.0,2.0,0.0,supplied_demand_deficit-supply_percapita_GINI-energy_costs
-0.08370639980055117,0.07695759147568859,0.24697890559501023,-0.38754753521727436,4.779000000000001,1.121,0.6,0.3,1.5,2.487827680129642,0.6276220655408024,0.44718614582244093,0.3500219219791299,1.172942186527985,5.0856,2.933,0.757,0.944,0.782,1.201,0.848,0.829,0.474,0.448,0.977,0.15200000000000002,0.17100000000000004,0.526,0.552,0.02300000000000002,136.0,122.0,74.0,66.0,143.0,0.7152,108.2,0.448,0.15970425138632163,0.16017897091722597,118.0,0.1987976080221311,4.0,2.0,0.0,supplied_demand_deficit-supply_percapita_GINI-energy_costs
-0.052457971659442215,0.42317985437054584,-0.09059673990867223,-0.6779982336126741,4.779000000000001,1.121,0.6,0.3,1.5,2.508139158421363,0.40257759465914517,0.8916547862814916,0.14091748973039928,1.1423109709076014,5.0856,2.933,0.757,0.944,0.782,1.201,0.855,0.532,0.945,0.18,0.951,0.14500000000000002,0.46799999999999997,0.05500000000000005,0.8200000000000001,0.049000000000000044,137.0,78.0,148.0,27.0,139.0,0.6926,105.8,0.18,0.22911153119092628,0.2258157666762922,118.0,0.31105819988783356,4.0,2.0,1.0,supplied_demand_deficit-supply_percapita_GINI-energy_costs
-0.9830394750726623,0.48768423733424227,-0.167655474469949,-0.7476418977201646,4.779000000000001,1.121,0.6,0.3,1.5,1.90326118120277,0.3606497457327425,0.9836708126727244,0.7005270852791236,1.1374911751126402,5.0856,2.933,0.757,0.944,0.782,1.201,0.649,0.476,1.042,0.896,0.947,0.351,0.524,0.04200000000000004,0.10399999999999998,0.05300000000000005,104.0,70.0,163.0,132.0,139.0,0.8019999999999999,121.6,0.476,0.14539473684210527,0.142643391521197,118.0,0.5965052711492546,4.0,1.0,0.0,supplied_demand_deficit-supply_percapita_GINI-energy_costs
-0.8740704199047094,0.19314128637688266,-0.10031093073980446,-0.6867191389310721,4.779000000000001,1.121,0.6,0.3,1.5,1.9740910670619396,0.5521026638550263,0.7484439411258467,0.6692969926328642,1.141665335324324,5.085600000000001,2.933,0.757,0.944,0.782,1.201,0.673,0.729,0.793,0.856,0.951,0.32699999999999996,0.271,0.20699999999999996,0.14400000000000002,0.049000000000000044,108.0,107.0,124.0,126.0,139.0,0.8004,120.8,0.673,0.054304635761589407,0.06826586706646676,118.0,0.46356044398811713,5.0,0.0,0.0,supplied_demand_deficit-supply_percapita_GINI-energy_costs
0.1919250800020087,-0.3313331886984763,0.08845082836436835,-0.4210145636829161,4.779000000000001,1.121,0.6,0.3,1.5,2.666988142001306,0.8930110726540096,0.284840388909151,0.14910789160479887,1.0916525048307348,5.0856,2.933,0.757,0.944,0.782,1.201,0.909,1.18,0.302,0.191,0.909,0.09099999999999997,0.17999999999999994,0.698,0.8089999999999999,0.09099999999999997,146.0,173.0,47.0,28.0,133.0,0.6981999999999999,105.4,0.191,0.2952561669829222,0.2961902033801203,118.0,0.25818091518694236,3.0,2.0,2.0,supplied_demand_deficit-supply_percapita_GINI-energy_costs
